location,total_cases,total_deaths
France,23064766.0,139312.0
India,42962953.0,515036.0
Russia,16619507.0,348467.0
United Kingdom,19172095.0,162152.0
Japan,5341246.0,24816.0
South Korea,4456264.0,8957.0
Germany,15830112.0,124107.0
Brazil,29040800.0,652216.0
Italy,12990223.0,155782.0
United States,79265726.0,958437.0
