País,IDH Ajustado à Desigualdade (IDHAD)
Islândia,0.91
Noruega,0.903
Dinamarca,0.898
Suíça,0.891
Irlanda,0.886
Finlândia,0.886
Países Baixos,0.885
Eslovénia,0.882
Alemanha,0.881
Suécia,0.878
