País,Índice de Desenvolvimento Humano por Género
Andorra,8.4
Seicheles,1.064
Trindade e Tobago,1.037
Nauru,1.037
Moldávia (República da),1.033
Mongólia,1.032
Barbados,1.03
República Dominicana,1.029
Lituânia,1.028
Catar,1.027
