País,IDH ajustado à pressão sobre o planeta
Butão,0.615
Turquemenistão,0.662
Líbano,0.68
Maldivas,34.4
Ucrânia,34.4
Palestina (Estado da),35.0
Usbequistão,35.3
Jordânia,35.4
Quirguizistão,36.3
Tunísia,36.5
Trindade e Tobago,36.6
Geórgia,36.6
Líbia,37.1
Costa Rica,37.1
Moldávia (República da),37.4
Santa Lúcia,37.5
Egito,37.6
Iraque,37.9
Bósnia-Herzegovina,37.9
Equador,38.0
