País,Índice de Desenvolvimento Humano por Género
Iémen,0.456
Afeganistão,0.622
Somália,0.769
Chade,0.776
Iraque,0.786
República Árabe da Síria,0.805
Guiné,0.818
Níger,0.826
Mali,0.83
Paquistão,0.834
Jibuti,0.844
Togo,0.848
Benin,0.848
Quiribati,0.849
Marrocos,0.851
Índia,0.852
Libéria,0.86
Costa do Marfim,0.861
Guiné-Bissau,0.862
Jordânia,0.863
