País,IDH ajustado à pressão sobre o planeta
Níger,66.1
Chade,61.4
Moçambique,60.0
República Centro-Africana,57.4
Guiné,56.4
Madagáscar,56.4
Mauritânia,56.0
Angola,55.3
Benin,55.0
Mali,55.0
