País,Índice de Desigualdade de Género
Iémen,0.82
Nigéria,0.677
Somália,0.674
Chade,0.671
Afeganistão,0.665
Libéria,0.656
Benin,0.649
Comores,0.631
Guiné-Bissau,0.631
Guiné Equatorial,0.624
Haiti,0.621
Serra Leoa,0.613
Costa do Marfim,0.612
Guiné,0.609
Níger,0.609
Mali,0.607
Congo (República Democrática do),0.605
Papua-Nova Guiné,0.604
Mauritânia,0.603
Quiribati,0.585
