País,Índice de Pobreza Multidimensional
Ucrânia,0.2
Geórgia,0.3
Jordânia,0.4
Macedónia do Norte,0.4
Quirguizistão,0.4
Costa Rica,0.5
Palestina (Estado da),0.6
Cuba,0.7
Tunísia,0.8
Maldivas,0.8
