País,IDH
Somália,0.38
Sudão do Sul,0.381
República Centro-Africana,0.387
Níger,0.394
Chade,0.394
Mali,0.41
Burundi,0.42
Iémen,0.424
Burquina Fasso,0.438
Serra Leoa,0.458
Moçambique,0.461
Afeganistão,0.462
Guiné,0.471
Congo (República Democrática do),0.481
Guiné-Bissau,0.483
Madagáscar,0.487
Libéria,0.487
Etiópia,0.492
Eritreia,0.493
Gâmbia,0.495
