País,IDH
Suíça,0.967
Noruega,0.966
Islândia,0.959
Hong Kong China (RAE),0.956
Dinamarca,0.952
Suécia,0.952
Alemanha,0.95
Irlanda,0.95
Singapura,0.949
Austrália,0.946
